"","","Total boys and girls (1)","","","","","","","","","","","","","","Total boys and girls (1)"
"","","Boys (1)",".",".",".",".",".",".","Girls (1)",".",".",".",".",".",".","."
"","","All Ages (1)",".",".",".",".",".","All Ages (1)","All Ages (1)",".",".",".",".",".","All Ages (1)","."
"","","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","Under 1 year (1)","1 to 4 years (1)","5 to 9 years (1)","10 to 15 years (1)","16 to 17 years (1)","18 and over (1)",".","."
"All Welsh local authorities ","",105,435,590,1055,290,"*",2480,95,340,480,850,285,5,2055,4535
"All Welsh local authorities ","Isle of Anglesey ","*",10,5,15,10,"*",40,"*","*",10,10,5,"*",30,70
"","Gwynedd ","*",10,15,40,10,"*",70,"*",5,20,30,10,"*",65,135
"","Conwy ",5,5,20,30,5,"*",65,"*",5,20,40,10,"*",75,140
"","Denbighshire ","*",10,15,45,10,"*",90,"*",10,15,20,5,"*",55,140
"","Flintshire ",5,20,10,30,15,"*",85,"*",10,15,20,15,"*",60,140
"","Wrexham ",5,10,15,25,10,"*",65,"*",10,10,20,10,"*",45,115
"","Powys ","*",5,20,45,10,"*",85,"*",10,10,25,10,"*",55,140
"","Ceredigion ","*",5,10,10,"*","*",30,"*",5,5,15,"*","*",30,60
"","Pembrokeshire ","*",15,15,40,10,"*",80,5,10,5,30,15,"*",70,145
"","Carmarthenshire ","*",25,20,45,5,"*",100,"*",10,15,35,10,"*",70,175
"","Swansea ",10,40,75,85,25,"*",240,10,35,30,70,20,"*",175,410
"","Neath Port Talbot ",5,15,35,65,20,"*",135,"*",20,30,55,15,"*",125,260
"","Bridgend ",5,40,40,45,15,"*",140,10,25,30,45,20,"*",120,265
"","Vale of Glamorgan ",5,25,15,45,10,"*",105,5,15,25,35,15,"*",95,200
"","Cardiff ",10,50,85,125,30,"*",295,10,40,60,100,25,"*",235,530
"","Rhondda Cynon Taf ",5,55,65,90,25,"*",245,10,40,50,70,30,"*",200,445
"","Merthyr Tydfil ","*",15,20,40,5,"*",85,"*",10,15,40,5,"*",75,155
"","Caerphilly ",5,25,30,70,25,"*",160,5,15,30,60,20,"*",130,290
"","Blaenau Gwent ",5,10,20,35,10,"*",80,"*",10,20,35,10,"*",75,155
"","Torfaen ",5,15,25,40,10,"*",95,"*",15,20,30,5,"*",75,170
"","Monmouthshire ","*","*",5,20,"*","*",35,"*",5,5,20,5,"*",40,75
"","Newport ",10,20,30,70,25,"*",155,10,25,35,50,30,"*",155,305


